DANE|MPIO|DPTO|M1_100B|M1_100C|M1_101|M1_102|M1_103A|M1_103B|M1_104|M1_115|M1_119|M1_303B|M1_303C|M1_303D|M1_303E|M1_303F|M1_303G|M1_304|M1_305|M1_306|M1_306CU|M1_307|M1_308|M1_309|Grandesciudades|Clase|zona|Region|Subreg|depto|Municipio|Fex_fin|EST_SE_2|FRACCION|ID_HOGAR
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|5|2|2||2|1|1|5001|1|1|3|12|5|MEDELLIN|1280.40056430623|2|8|100401
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|2|1|1||2|1|1|5001|1|1|3|12|5|MEDELLIN|341.440150481662|2|2|100501
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|1280.40056430623|2|8|101001
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|4|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|1280.40056430623|2|1|102901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|1|6|NULL|NULL|NULL|NULL|NULL|NULL|2|2|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|193.235438390982|1|2|103701
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|1|2|NULL|NULL|NULL|NULL|NULL|NULL|2|4|3||4|1|1|5001|1|1|3|12|5|MEDELLIN|1449.26578793236|1|2|104501
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|1|2|NULL|NULL|NULL|NULL|NULL|NULL|4|1|1||1|1|1|5001|1|1|3|12|5|MEDELLIN|1449.26578793236|1|10|104601
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|1|5|NULL|NULL|NULL|NULL|NULL|NULL|3|2|1||2|2|1|5001|1|1|3|12|5|MEDELLIN|1449.26578793236|1|2|105301
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|1|6|NULL|NULL|NULL|NULL|NULL|NULL|4|1|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|193.235438390982|1|2|106801
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|1|3|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|193.235438390982|1|8|107101
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|1|3|NULL|NULL|NULL|NULL|NULL|NULL|1|3|1||1|1|1|5001|1|1|3|12|5|MEDELLIN|541.059227494748|1|13|200401
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|1|4|NULL|NULL|NULL|NULL|NULL|NULL|3|2|3||1|2|1|5001|1|1|3|12|5|MEDELLIN|541.059227494748|1|2|201001
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|3|2|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|341.440150481662|2|8|201201
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|1|4|NULL|NULL|NULL|NULL|NULL|NULL|2|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|386.470876781963|1|8|201301
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|1|4|NULL|NULL|NULL|NULL|NULL|NULL|3|3|2||1|2|1|5001|1|1|3|12|5|MEDELLIN|541.059227494748|1|8|201401
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|1847.40124591587|2|2|2200801
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|4|3|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|2|2205301
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|6|NULL|NULL|NULL|NULL|NULL|NULL|4|1|1||1|5|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|8|2208101
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|2|1|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|1847.40124591587|2|8|2208501
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|3|2|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|2|2208801
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|6|38|4|6|1|3|2|2|1|1||2|2|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|2|2211301
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|2|2|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|696.210717469122|2|9|2300301
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|2|NULL|NULL|NULL|NULL|NULL|NULL|2|2|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|696.210717469122|2|8|2301601
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|2|NULL|NULL|NULL|NULL|NULL|NULL|1|1|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|2|2302101
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|7|NULL|NULL|NULL|NULL|NULL|NULL|3|2|1||2|3|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|8|2302901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|4|1|3||1|3|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|1|2303901
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|2|2|1||1|2|2|5001|1|1|3|12|5|MEDELLIN|696.210717469122|2|8|2305501
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|2|3|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|183.2133467024|2|2|2305701
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|6|NULL|NULL|NULL|NULL|NULL|NULL|5|1|5||1|2|1|5001|1|1|3|12|5|MEDELLIN|91.6066733512002|2|2|2305801
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|1|3|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|696.210717469122|2|9|2306101
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|696.210717469122|2|8|2307001
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|5|1|1||2|2|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|2|3600401
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|6|NULL|NULL|NULL|NULL|NULL|NULL|4|1|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|275.325411579196|2|10|3600801
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|2|2|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|275.325411579196|2|8|3601101
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|2|1|1||2|2|1|5001|1|1|3|12|5|MEDELLIN|275.325411579196|2|8|3601901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|7|NULL|NULL|NULL|NULL|NULL|NULL|2|2|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|148.25214469649|2|10|3602601
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|2|2|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|148.25214469649|2|2|3602701
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||2|2|1|5001|1|1|3|12|5|MEDELLIN|275.325411579196|2|2|3602901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|3|2|5||2|2|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|8|3700501
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|8|NULL|NULL|NULL|NULL|NULL|NULL|3|1|5||1|3|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|2|3700701
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||1|2|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|4|3702601
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|2|2|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|2|3703501
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|1|NULL|NULL|NULL|NULL|NULL|NULL|3|3|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|2|3706401
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|2|3706701
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||1|1|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|1|3706901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|2|4|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|8|3707201
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|4|3|3||1|3|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|2|3707601
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|10|NULL|NULL|NULL|NULL|NULL|NULL|3|3|3||1|4|1|5001|1|1|3|12|5|MEDELLIN|148.25214469649|2|10|3708101
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|2|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|1|3708201
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|4|4|3||1|3|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|4|3708401
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|6|NULL|NULL|NULL|NULL|NULL|NULL|4|1|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|1|3708901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|10|NULL|NULL|NULL|NULL|NULL|NULL|1|3|1||1|5|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|13|3709101
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|2|1|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|148.25214469649|2|1|3709201
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|148.25214469649|2|8|3709901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|4|3|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|74.1260723482451|2|2|3710401
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|2|2|5||2|2|1|5001|1|1|3|12|5|MEDELLIN|457.110779480845|2|7|3710901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|3|2|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|685.165964569384|2|2|4300901
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|2|3|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|8|4301101
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|2|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|8|4301801
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|8|NULL|NULL|NULL|NULL|NULL|NULL|5|1|1||1|4|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|8|4304301
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|4|2|1||2|2|1|5001|1|1|3|12|5|MEDELLIN|685.165964569384|2|10|4305401
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|6|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|8|4305601
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|6|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|685.165964569384|2|1|4306101
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||2|2|1|5001|1|1|3|12|5|MEDELLIN|685.165964569384|2|2|4306301
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||1|2|1|5001|1|1|3|12|5|MEDELLIN|1370.33192913877|2|2|4308001
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|8|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||1|3|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|2|4400201
5001|MEDELLIN|ANTIOQUIA|1|2|3|5|MEDELLIN|5001|1|2|1|NULL|NULL|NULL|NULL|NULL|NULL|2|1|3||1|1|1|5001|1|1|3|12|5|MEDELLIN|220.775699694579|2|8|4400501
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|3|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|1|4400801
5001|MEDELLIN|ANTIOQUIA|2|1|3|5|MEDELLIN|5001|1|2|1|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||2|1|1|5001|1|1|3|12|5|MEDELLIN|220.775699694579|2|1|4401001
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|3|1|1||1|3|1|5001|1|1|3|12|5|MEDELLIN|220.775699694579|2|8|4401101
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|2|1|1||1|4|1|5001|1|1|3|12|5|MEDELLIN|220.775699694579|2|11|4401201
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|3|1|2||1|3|1|5001|1|1|3|12|5|MEDELLIN|220.775699694579|2|1|4401401
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|9|NULL|NULL|NULL|NULL|NULL|NULL|2|1|3||1|3|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|7|4401501
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|4|2|3||1|3|1|5001|1|1|3|12|5|MEDELLIN|76.1295516188205|2|2|4402001
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|4|NULL|NULL|NULL|NULL|NULL|NULL|2|2|5||2|2|1|5001|1|1|3|12|5|MEDELLIN|220.775699694579|2|8|4402201
5001|MEDELLIN|ANTIOQUIA|1|1|3|5|MEDELLIN|5001|1|2|5|NULL|NULL|NULL|NULL|NULL|NULL|3|1|3||2|2|1|5001|1|1|3|12|5|MEDELLIN|350.278886655286|2|4|5601101
