"Food","Freq","PR","P_value"
"Carbs","4-7x","1.014 (0.96, 1.071)",0.6116
"Carbs","8+x","1.018 (0.967, 1.071)",0.5042
"Veg","1x","0.984 (0.928, 1.044)",0.5998
"Veg","2-3x","0.933 (0.891, 0.977)",0.0031
"Veg","4-7x","0.944 (0.904, 0.985)",0.0079
"Veg","8+x","0.941 (0.896, 0.989)",0.0157
"Fruit","2-3x","1.008 (0.959, 1.059)",0.7654
"Fruit","4-7x","0.986 (0.941, 1.032)",0.5358
"Fruit","8+x","1.006 (0.961, 1.054)",0.7852
"Prot","4-7x","1.026 (0.976, 1.079)",0.3116
"Prot","8+x","1.014 (0.967, 1.063)",0.5733
"Dairy","2-3x","1.046 (0.985, 1.11)",0.1412
"Dairy","4-7x","1.031 (0.977, 1.088)",0.2618
"Dairy","8+x","1.008 (0.957, 1.062)",0.7621
"Fats","1x","1.047 (0.984, 1.115)",0.149
"Fats","2-3x","1.028 (0.973, 1.085)",0.3273
"Fats","4-7x","1.062 (1.006, 1.121)",0.0302
"Fats","8+x","1.015 (0.96, 1.074)",0.5998
"Sugar","1x","0.979 (0.907, 1.057)",0.5862
"Sugar","2-3x","1.034 (0.971, 1.101)",0.2984
"Sugar","4-7x","1.045 (0.984, 1.11)",0.1478
"Sugar","8+x","1.035 (0.977, 1.097)",0.24
"Soda","1x","1.033 (0.994, 1.074)",0.0986
"Soda","2-3x","1.043 (1.004, 1.084)",0.0297
"Soda","4+x","1.051 (1.01, 1.094)",0.0153
"Juice","2-3x","0.942 (0.867, 1.023)",0.1544
"Juice","4-7x","1.075 (1.003, 1.153)",0.0412
"Juice","8+x","1.061 (0.994, 1.133)",0.074
