"Food","Freq","PR","P_value"
"Carbs","4-7x","1.061 (0.947, 1.188)",0.3091
"Carbs","8+x","1.095 (0.985, 1.217)",0.0939
"Veg","1x","1.006 (0.895, 1.131)",0.9139
"Veg","2-3x","0.908 (0.825, 0.999)",0.0485
"Veg","4-7x","0.927 (0.846, 1.015)",0.103
"Veg","8+x","0.938 (0.846, 1.04)",0.2264
"Fruit","2-3x","1.036 (0.939, 1.142)",0.4844
"Fruit","4-7x","1.001 (0.913, 1.098)",0.9794
"Fruit","8+x","1.036 (0.944, 1.137)",0.4518
"Prot","4-7x","1.022 (0.925, 1.128)",0.6736
"Prot","8+x","1.004 (0.914, 1.103)",0.9354
"Dairy","2-3x","0.996 (0.881, 1.127)",0.9552
"Dairy","4-7x","1.028 (0.923, 1.146)",0.6102
"Dairy","8+x","1.033 (0.931, 1.145)",0.5428
"Fats","1x","0.97 (0.862, 1.092)",0.6173
"Fats","2-3x","0.945 (0.854, 1.046)",0.2749
"Fats","4-7x","0.994 (0.899, 1.1)",0.9133
"Fats","8+x","0.953 (0.856, 1.06)",0.3714
"Sugar","1x","0.926 (0.8, 1.072)",0.3017
"Sugar","2-3x","1.009 (0.893, 1.14)",0.8829
"Sugar","4-7x","1.032 (0.918, 1.16)",0.6011
"Sugar","8+x","1.075 (0.961, 1.203)",0.2032
"Soda","1x","0.999 (0.92, 1.086)",0.9891
"Soda","2-3x","1.09 (1.005, 1.183)",0.0382
"Soda","4+x","1.169 (1.075, 1.27)",3e-04
"Juice","2-3x","0.823 (0.702, 0.964)",0.016
"Juice","4-7x","1.026 (0.905, 1.164)",0.6842
"Juice","8+x","1.032 (0.92, 1.158)",0.5865
